================ Training Loss (Mon Jun  7 02:43:15 2021) ================
(epoch: 36, iters: 100, time: 0.524, data: 0.247) D_A: 0.011 G_A: 0.964 cycle_A: 0.506 idt_A: 0.855 D_B: 0.003 G_B: 1.022 cycle_B: 1.103 idt_B: 0.465 
(epoch: 36, iters: 200, time: 0.523, data: 0.003) D_A: 0.011 G_A: 0.945 cycle_A: 1.948 idt_A: 0.422 D_B: 0.006 G_B: 0.921 cycle_B: 1.268 idt_B: 1.537 
(epoch: 37, iters: 100, time: 0.528, data: 0.322) D_A: 0.015 G_A: 1.050 cycle_A: 1.201 idt_A: 0.461 D_B: 0.004 G_B: 1.066 cycle_B: 1.084 idt_B: 1.231 
(epoch: 37, iters: 200, time: 0.526, data: 0.003) D_A: 0.025 G_A: 0.832 cycle_A: 0.656 idt_A: 0.805 D_B: 0.002 G_B: 0.975 cycle_B: 1.146 idt_B: 0.355 
(epoch: 38, iters: 100, time: 0.523, data: 0.288) D_A: 0.009 G_A: 0.818 cycle_A: 1.672 idt_A: 0.588 D_B: 0.004 G_B: 1.077 cycle_B: 1.297 idt_B: 0.429 
(epoch: 38, iters: 200, time: 0.523, data: 0.002) D_A: 0.005 G_A: 0.910 cycle_A: 1.218 idt_A: 0.464 D_B: 0.003 G_B: 1.025 cycle_B: 0.685 idt_B: 0.418 
(epoch: 39, iters: 100, time: 0.523, data: 0.313) D_A: 0.011 G_A: 0.702 cycle_A: 0.875 idt_A: 0.370 D_B: 0.002 G_B: 0.999 cycle_B: 1.806 idt_B: 0.552 
(epoch: 39, iters: 200, time: 0.525, data: 0.002) D_A: 0.013 G_A: 0.826 cycle_A: 0.774 idt_A: 0.414 D_B: 0.002 G_B: 0.922 cycle_B: 0.700 idt_B: 0.347 
(epoch: 40, iters: 100, time: 0.526, data: 0.261) D_A: 0.018 G_A: 0.644 cycle_A: 2.658 idt_A: 0.582 D_B: 0.012 G_B: 1.086 cycle_B: 1.534 idt_B: 0.490 
(epoch: 40, iters: 200, time: 0.524, data: 0.003) D_A: 0.093 G_A: 0.410 cycle_A: 0.767 idt_A: 0.589 D_B: 0.014 G_B: 0.899 cycle_B: 1.666 idt_B: 0.378 
(epoch: 41, iters: 100, time: 0.525, data: 0.303) D_A: 0.016 G_A: 0.806 cycle_A: 0.653 idt_A: 0.942 D_B: 0.001 G_B: 0.954 cycle_B: 1.884 idt_B: 0.287 
(epoch: 41, iters: 200, time: 0.525, data: 0.002) D_A: 0.009 G_A: 0.900 cycle_A: 0.935 idt_A: 0.638 D_B: 0.002 G_B: 1.041 cycle_B: 1.615 idt_B: 0.607 
(epoch: 42, iters: 100, time: 0.524, data: 0.314) D_A: 0.011 G_A: 0.887 cycle_A: 0.999 idt_A: 0.430 D_B: 0.003 G_B: 0.917 cycle_B: 0.625 idt_B: 0.251 
(epoch: 42, iters: 200, time: 0.527, data: 0.002) D_A: 0.028 G_A: 0.909 cycle_A: 0.542 idt_A: 0.416 D_B: 0.003 G_B: 0.944 cycle_B: 1.049 idt_B: 0.296 
(epoch: 43, iters: 100, time: 0.527, data: 0.336) D_A: 0.014 G_A: 0.840 cycle_A: 1.123 idt_A: 0.311 D_B: 0.004 G_B: 0.999 cycle_B: 0.938 idt_B: 0.885 
(epoch: 43, iters: 200, time: 0.528, data: 0.002) D_A: 0.009 G_A: 1.015 cycle_A: 2.084 idt_A: 0.533 D_B: 0.002 G_B: 0.990 cycle_B: 0.696 idt_B: 1.429 
(epoch: 44, iters: 100, time: 0.526, data: 0.250) D_A: 0.012 G_A: 0.881 cycle_A: 0.949 idt_A: 0.651 D_B: 0.006 G_B: 1.126 cycle_B: 1.176 idt_B: 0.420 
(epoch: 44, iters: 200, time: 0.526, data: 0.003) D_A: 0.049 G_A: 0.643 cycle_A: 1.355 idt_A: 0.243 D_B: 0.001 G_B: 0.975 cycle_B: 1.882 idt_B: 0.593 
(epoch: 45, iters: 100, time: 0.523, data: 0.261) D_A: 0.009 G_A: 1.122 cycle_A: 0.836 idt_A: 0.341 D_B: 0.006 G_B: 1.027 cycle_B: 0.931 idt_B: 0.462 
(epoch: 45, iters: 200, time: 0.526, data: 0.002) D_A: 0.013 G_A: 1.236 cycle_A: 1.908 idt_A: 0.355 D_B: 0.002 G_B: 0.994 cycle_B: 0.817 idt_B: 1.376 
(epoch: 46, iters: 100, time: 0.527, data: 0.239) D_A: 0.009 G_A: 0.958 cycle_A: 1.347 idt_A: 0.572 D_B: 0.003 G_B: 1.099 cycle_B: 1.200 idt_B: 1.335 
